PMID,Img_file_name,StartID,Relation,ReceptorID
21293176,21293176_page6_59,P27KIP1,activate_relation,G2
21645460,21645460_page1_4,NS,activate_relation,NFKB
21645460,21645460_page1_4,NS,activate_relation,CD
21645460,21645460_page1_4,NS,activate_relation,EML4
21645460,21645460_page1_4,CD,activate_relation,CDK2
22176813,22176813_page1_24,PI3K,activate_relation,AKT
22176813,22176813_page1_24,AKT,activate_relation,MTOR
22176813,22176813_page1_24,PTEN,inhibit_relation,AKT
22176813,22176813_page1_24,PTEN,activate_relation,AKT
22481432,22481432_page2_63,NOS,activate_relation,IP
22481432,22481432_page2_63,PKC,activate_relation,DAG
22481432,22481432_page2_63,DAG,activate_relation,PKC
22481432,22481432_page2_63,PKC,activate_relation,IP
22481432,22481432_page2_63,PI3K,activate_relation,AKT
22481432,22481432_page2_63,DAG,activate_relation,IP
22481432,22481432_page2_63,IP,activate_relation,DAG
22481432,22481432_page2_63,IP,activate_relation,DAG
22481432,22481432_page2_63,NOS,activate_relation,PKC
22481432,22481432_page2_63,FAK,activate_relation,PAXILLIN
22481432,22481432_page2_63,IP,activate_relation,DAG
22776234,22776234_page2_15,PI3K,activate_relation,GEF
22776234,22776234_page2_15,GAP,activate_relation,GEF
22776234,22776234_page2_15,MEK,activate_relation,ERK
22776234,22776234_page2_15,PDK1,activate_relation,AKT
22776234,22776234_page2_15,SHP2,activate_relation,GEF
22776234,22776234_page2_15,PI3K,activate_relation,PDK1
22776234,22776234_page2_15,TIAM1,activate_relation,RAC
22776234,22776234_page2_15,RALGDS,activate_relation,RAL
23109866,23109866_page2_7,ERK,activate_relation,MEK
23109866,23109866_page2_7,AKT,activate_relation,MTOR
23109866,23109866_page2_7,MEK,activate_relation,ERK
23109866,23109866_page2_7,PI3K,activate_relation,AKT
23322021,23322021_page2_7,IKK-alpha,activate_relation,IKK-beta
23345546,23345546_page2_7,PI3K,activate_relation,AKT
23345546,23345546_page2_7,PI3K,activate_relation,FAK
23345546,23345546_page3_11,AKT,activate_relation,P85
23345546,23345546_page3_11,P85,activate_relation,EGFR
23345546,23345546_page3_11,HER3,activate_relation,EGFR
23345546,23345546_page3_11,HER3,inhibit_relation,P85
23345546,23345546_page3_11,P85,activate_relation,EGFR
23382783,23382783_page5_21,CXCR4,activate_relation,CXCL12
23382783,23382783_page5_21,CXCR4,activate_relation,CCR6
23382783,23382783_page5_21,CCR6,activate_relation,CCL20
23393121,23393121_page3_81,BCL2,activate_relation,NFKB
23393121,23393121_page3_81,SHP2,inhibit_relation,aP2
23393121,23393121_page3_81,CD28,activate_relation,BCL2
23708071,23708071_page2_25,LPC,activate_relation,AKT
23708071,23708071_page2_25,PC,activate_relation,LPC
23708071,23708071_page2_25,PC,activate_relation,LPC
23708071,23708071_page2_25,ATX,activate_relation,ATX
23708071,23708071_page2_25,LPC,activate_relation,ERK
23708071,23708071_page2_25,LPC,activate_relation,LPC
23708071,23708071_page2_25,LPC,activate_relation,LPC
23708071,23708071_page2_25,LPA,activate_relation,ATX
23708071,23708071_page2_25,LPC,inhibit_relation,LPA
23708071,23708071_page2_25,ATX,activate_relation,ATX
23708071,23708071_page3_29,AKT,activate_relation,MTOR
23708071,23708071_page3_29,DAG,activate_relation,AKT
23708071,23708071_page3_29,AKT,activate_relation,BAD
23877481,23877481_page3_17,EP,activate_relation,EGF
23877481,23877481_page3_17,EGF,activate_relation,EP
23885909,23885909_page5_123,PI3K,activate_relation,AKT
23885909,23885909_page5_123,MTOR,activate_relation,AKT
23885909,23885909_page5_123,PTEN,inhibit_relation,AKT
23909719,23909719_page4_22,NRF2,activate_relation,FOXM1
23909719,23909719_page4_22,FOXM1,activate_relation,SMAD4
23909719,23909719_page4_22,NRF2,inhibit_relation,SMAD4
23909719,23909719_page4_22,SMAD4,inhibit_relation,NRF2
23912485,23912485_page3_32,CAMP,activate_relation,GAS
23912485,23912485_page5_48,VEGF,activate_relation,CAMP
24076266,24076266_page40_175,CSL,activate_relation,p21
24165275,24165275_page2_80,EZH2,activate_relation,SUZ12
24229629,24229629_page2_8,GRB2,activate_relation,PI3K
24229629,24229629_page2_8,PI3K,activate_relation,AKT
24258572,24258572_page2_27,MTOR,activate_relation,AKT
24258572,24258572_page2_27,STAT3,activate_relation,VAV3
24258572,24258572_page2_27,GRB2,activate_relation,FAK
24258572,24258572_page2_27,GRB2,activate_relation,PI3K
24258572,24258572_page2_27,KRAS2,activate_relation,BRAF2
24258572,24258572_page2_27,PI3K,activate_relation,AKT
24258572,24258572_page2_27,AKT,activate_relation,MTOR
24258572,24258572_page2_27,MEK,activate_relation,MEKK11
24258572,24258572_page2_27,PI3K,activate_relation,KRAS2
24258572,24258572_page2_27,BRAF2,activate_relation,KRAS2
24258572,24258572_page2_27,GRB2,activate_relation,PI3K
24258572,24258572_page2_27,PI3K,activate_relation,KRAS2
24258572,24258572_page2_27,KRAS2,activate_relation,BRAF2
24258572,24258572_page2_27,GRB2,activate_relation,PI3K
24258572,24258572_page2_27,GRB2,activate_relation,KRAS2
24258572,24258572_page2_27,GRB2,activate_relation,PI3K
24312144,24312144_page2_9,LKB1,activate_relation,AMPK
24312144,24312144_page2_9,AMPK,activate_relation,MTORC1
24312144,24312144_page2_9,HGF,activate_relation,AKT
24312144,24312144_page2_9,4E-BP1,activate_relation,MORC2
24312144,24312144_page2_9,MORC2,activate_relation,AKT
24312144,24312144_page2_9,HGF,activate_relation,AKT
24649300,24649300_page1_18,PAG,activate_relation,PKC
25101240,25101240_page1_4,p110,inhibit_relation,GSK3B
25101240,25101240_page1_4,AKT,inhibit_relation,BAD
25101240,25101240_page1_4,GSK3B,inhibit_relation,MCI1
25101240,25101240_page1_4,ERK,activate_relation,FOS
25101240,25101240_page1_4,FOS,inhibit_relation,p21
25101240,25101240_page1_4,STAT,activate_relation,BCLX
25101240,25101240_page1_4,STAT,activate_relation,STAT
25101240,25101240_page1_4,STAT,activate_relation,JAK3
25189716,25189716_page1_4,CD25,activate_relation,CTLA4
25257766,25257766_page1_24,BRAF,activate_relation,MEKK12
25257766,25257766_page1_24,MAP3K1,activate_relation,MEKK12
25257766,25257766_page1_24,RAF1,activate_relation,MEKK12
25297942,25297942_page7_29,cadherin,activate_relation,cadherin
25297942,25297942_page7_29,cadherin,activate_relation,cadherin
25297942,25297942_page7_29,NKD2,activate_relation,FZD8
25297942,25297942_page7_29,PORIN,activate_relation,GAS6
25477004,25477004_page2_50,TGFB,activate_relation,EMT
25505733,25505733_page1_4,PDK1,activate_relation,CDK
25505733,25505733_page1_4,EGFR,activate_relation,PI3K
25505733,25505733_page1_4,CDK,activate_relation,MTOR
25505733,25505733_page1_4,MEK,activate_relation,ERK
25505733,25505733_page1_4,MTOR,activate_relation,CDK
25505733,25505733_page1_4,PI3K,activate_relation,PDK1
25505733,25505733_page1_4,BRAF,activate_relation,MEK
25505733,25505733_page1_4,AKT,inhibit_relation,PI3K
25505733,25505733_page1_4,PDK1,inhibit_relation,CDK
25505733,25505733_page1_4,MTOR,activate_relation,CDK
25557115,25557115_page3_13,PI3K,activate_relation,AKT
25557115,25557115_page3_13,RAL,activate_relation,RALBP1
25755681,25755681_page1_43,IFNG,activate_relation,IFNGR
25755681,25755681_page1_43,PD1,activate_relation,IFNG
25755681,25755681_page1_43,IFNGR,activate_relation,PDL1
25755681,25755681_page1_43,IFNG,activate_relation,PDL2
25806180,25806180_page3_8,MTOR,activate_relation,BAD
25806180,25806180_page3_8,SHC,activate_relation,PI3K
25806180,25806180_page3_8,BAD,activate_relation,MTOR
25806180,25806180_page3_8,TSP1,activate_relation,VEGFR2
25806180,25806180_page3_8,VEGFA,activate_relation,GAB1
25806180,25806180_page3_8,ERK,activate_relation,MEK
25806180,25806180_page3_8,PI3K,activate_relation,AKT
25806180,25806180_page3_8,MEK,activate_relation,ERK
25806180,25806180_page3_8,DAG,activate_relation,GRB2
25806180,25806180_page3_8,GAB1,activate_relation,SOS1
25806180,25806180_page3_8,CA2,activate_relation,eNOS
25806180,25806180_page3_8,CA2,activate_relation,GAB1
25806180,25806180_page3_8,GAB1,activate_relation,GRB2
25806180,25806180_page3_8,AKT,activate_relation,PC
25806180,25806180_page3_8,AKT,inhibit_relation,PC
25806180,25806180_page3_8,CA2,inhibit_relation,TSP1
25806180,25806180_page3_8,MTOR,activate_relation,DAG
25806229,25806229_page2_8,BRCA2,activate_relation,BRCA2
